ID,Titulos,HUBsci,Categoria,Autores,Descripcion,Año
19,Autism and psychosis expressions diametrically modulate the right temporoparietal junction.,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/17470919.2016.1190786,NeuroCiencia,"Abu-AkelA.M,ApperlyI.A,WoodS.J,HansenP.","Autism and psychosis expressions diametrically modulate the right temporoparietal junction. Social Neuroscience, 12(5), 506–518.",2016
20,Role of the right temporoparietal junction in intergroup bias in,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.24903,NeuroCiencia,"FujinoJ,TeiS,ItahashiT,AokiY.Y,OhtaH,KubotaM,Nakamura",Role of the right temporoparietal junction in intergroup bias in trust decisions. Human Brain Mapping.,2019
21,Right temporoparietal junction underlies avoidance of moral transgression in Autism,https://sci-hub.se/https://www.jneurosci.org/content/41/8/1699?fbclid=IwAR0RgS5OVnljegJTepNkKr6GePjPTr9X6ynVc16FYQYyXJnk20O5zO7BFGA,NeuroCiencia,"HuY,PereiraA.M,GaoX,CamposB.M,DerringtonE,CorgnetB,Dreher","Right temporoparietal junction underlies avoidance of moral transgression in Autism Spectrum Disorder. The Journal of Neuroscience, JN–RM–1237–20.",2020
22,Hemiextinction induced by transcranial magnetic stimulation over the right temporo-parietal,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0306452206007597,NeuroCiencia,"MeisterI.G,WienemannM,BuelteD,GrünewaldC,SparingR,DambeckN,Boroojerdi","Hemiextinction induced by transcranial magnetic stimulation over the right temporo-parietal junction. Neuroscience, 142(1), 119–123.",2006
23,"The right temporo-parietal junction contributes to visual feature binding. NeuroImage,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S105381191400593X,NeuroCiencia,"PollmannS,ZinkeW,BaumgartnerF,GeringswaldF,Hanke","The right temporo-parietal junction contributes to visual feature binding. NeuroImage, 101, 289–297.",2014
24,The role of the right temporo-parietal junction in social decision-making.,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.24061,NeuroCiencia,"BitschF,BergerP,NagelsA,FalkenbergI,Straube","The role of the right temporo-parietal junction in social decision-making. Human Brain Mapping, 39(7), 3072–3085.",2018
25,Across-study and within-subject functional connectivity of a right temporo-parietal junction,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811912002157,NeuroCiencia,"JakobsO,LangnerR,CaspersS,RoskiC,CieslikE.C,ZillesK,EickhoffS.","Across-study and within-subject functional connectivity of a right temporo-parietal junction subregion involved in stimulus–context integration. NeuroImage, 60(4), 2389–2398.",2012
26,The effect of tDCS over the right temporo-parietal junction on,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393217301501,NeuroCiencia,"CollM.-P,TremblayM.-P.B,JacksonP.","The effect of tDCS over the right temporo-parietal junction on pain empathy. Neuropsychologia, 100, 110–119.",2017
27,Using tDCS to Explore the Role of the Right Temporo-Parietal,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fpsyg.2016.00380/full,NeuroCiencia,"MaiX,ZhangW,HuX,ZhenZ,XuZ,ZhangJ,Liu","Using tDCS to Explore the Role of the Right Temporo-Parietal Junction in Theory of Mind and Cognitive Empathy. Frontiers in Psychology, 7.",2016
28,Functional activity of the right temporo-parietal junction and of the,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811912000900,NeuroCiencia,"DöhnelK,SchuwerkT,MeinhardtJ,SodianB,HajakG,Sommer","Functional activity of the right temporo-parietal junction and of the medial prefrontal cortex associated with true and false belief reasoning. NeuroImage, 60(3), 1652–1661.",2012
