Titulos,URL,HUBsci,Categoria
Autism and psychosis expressions diametrically modulate the right temporoparietal junction,https://www.tandfonline.com/doi/abs/10.1080/17470919.2016.1190786,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/17470919.2016.1190786,NeuroCiencia
Role of the right temporoparietal junction in intergroup bias in trust decisions,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.24903,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.24903,NeuroCiencia
Right temporoparietal junction underlies avoidance of moral transgression in Autism Spectrum Disorder,https://www.jneurosci.org/content/41/8/1699?fbclid=IwAR0RgS5OVnljegJTepNkKr6GePjPTr9X6ynVc16FYQYyXJnk20O5zO7BFGA,https://sci-hub.se/https://www.jneurosci.org/content/41/8/1699?fbclid=IwAR0RgS5OVnljegJTepNkKr6GePjPTr9X6ynVc16FYQYyXJnk20O5zO7BFGA,NeuroCiencia
Hemiextinction induced by transcranial magnetic stimulation over the right temporo-parietal junction,https://www.sciencedirect.com/science/article/pii/S0306452206007597,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0306452206007597,NeuroCiencia
The right temporo-parietal junction contributes to visual feature binding,https://www.sciencedirect.com/science/article/pii/S105381191400593X,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S105381191400593X,NeuroCiencia
The role of the right temporo–parietal junction in social decision‐making,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.24061,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.24061,NeuroCiencia
Across-study and within-subject functional connectivity of a right temporo-parietal junction subregion involved in stimulus–context integration,https://www.sciencedirect.com/science/article/pii/S1053811912002157,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811912002157,NeuroCiencia
The effect of tDCS over the right temporo-parietal junction on pain empathy,https://www.sciencedirect.com/science/article/pii/S0028393217301501,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393217301501,NeuroCiencia
A causal role for right temporo-parietal junction in signaling moral conflict,https://elifesciences.org/articles/40671,https://sci-hub.se/https://elifesciences.org/articles/40671,NeuroCiencia
[HTML] Using tDCS to explore the role of the right temporo-parietal junction in theory of mind and cognitive empathy,https://www.frontiersin.org/articles/10.3389/fpsyg.2016.00380/full,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fpsyg.2016.00380/full,NeuroCiencia
